Type	Rank	Freq	Range	NormFreq	NormRange
de inovação	1	21301	1	4558.026	1.000
et al	14	10957	1	2344.598	1.000
da inovação	20	8678	1	1856.934	1.000
processo de	21	8540	1	1827.404	1.000
por meio	23	7683	1	1644.022	1.000
que se	23	7683	1	1644.022	1.000
de pesquisa	25	7529	1	1611.069	1.000
de patentes	27	6843	1	1464.277	1.000
que os	29	6323	1	1353.007	1.000
que as	30	6127	1	1311.066	1.000
em que	32	5947	1	1272.550	1.000
no brasil	34	5772	1	1235.103	1.000
de gestão	35	5733	1	1226.758	1.000
se que	36	5561	1	1189.953	1.000
de dados	37	5518	1	1180.751	1.000
de forma	38	5460	1	1168.341	1.000
disponível em	39	5265	1	1126.614	1.000
desenvolvimento de	41	5046	1	1079.752	1.000
do conhecimento	43	4834	1	1034.388	1.000
pode ser	44	4756	1	1017.697	1.000
entre os	46	4667	1	998.653	1.000
de que	47	4605	1	985.386	1.000
com os	51	4471	1	956.713	1.000
de janeiro	52	4434	1	948.795	1.000
em relação	55	4364	1	933.817	1.000
número de	59	4214	1	901.719	1.000
rio de	60	4141	1	886.099	1.000
de acordo	61	4136	1	885.029	1.000
as empresas	63	4037	1	863.844	1.000
acordo com	64	4033	1	862.989	1.000
de conhecimento	65	4030	1	862.347	1.000
de desenvolvimento	66	4012	1	858.495	1.000
da informação	67	3964	1	848.224	1.000
da pesquisa	68	3934	1	841.804	1.000
meio de	69	3911	1	836.883	1.000
para os	73	3772	1	807.139	1.000
de produção	75	3671	1	785.527	1.000
das empresas	77	3573	1	764.557	1.000
que não	80	3526	1	754.500	1.000
capacidade de	82	3513	1	751.718	1.000
os resultados	83	3488	1	746.368	1.000
brasileira de	84	3486	1	745.940	1.000
modelo de	86	3398	1	727.110	1.000
com as	87	3382	1	723.686	1.000
de ensino	89	3368	1	720.691	1.000
para as	90	3365	1	720.049	1.000
para que	91	3361	1	719.193	1.000
inovação em	93	3276	1	701.004	1.000
da empresa	94	3269	1	699.506	1.000
de produtos	95	3263	1	698.223	1.000
universidade federal	98	3235	1	692.231	1.000
que é	100	3200	1	684.742	1.000
partir de	101	3186	1	681.746	1.000
sistema de	104	3081	1	659.278	1.000
produção de	107	3010	1	644.085	1.000
criação de	108	2970	1	635.526	1.000
nacional de	110	2938	1	628.678	1.000
de trabalho	111	2936	1	628.251	1.000
do que	112	2910	1	622.687	1.000
entre as	113	2895	1	619.477	1.000
por exemplo	114	2877	1	615.626	1.000
de tecnologia	117	2831	1	605.782	1.000
forma de	118	2812	1	601.717	1.000
de empresas	119	2810	1	601.289	1.000
necessidade de	120	2787	1	596.367	1.000
de recursos	123	2782	1	595.297	1.000
revista brasileira	124	2776	1	594.013	1.000
processos de	126	2768	1	592.302	1.000
uso de	128	2740	1	586.310	1.000
do estado	132	2731	1	584.384	1.000
do processo	133	2728	1	583.742	1.000
revista de	134	2726	1	583.314	1.000
de informação	135	2690	1	575.611	1.000
inovação no	137	2668	1	570.903	1.000
com base	140	2598	1	555.925	1.000
de novos	141	2572	1	550.361	1.000
de saúde	143	2557	1	547.151	1.000
análise de	144	2554	1	546.509	1.000
gestão da	146	2544	1	544.370	1.000
de de	148	2523	1	539.876	1.000
à inovação	149	2521	1	539.448	1.000
inovação social	150	2515	1	538.164	1.000
partir da	151	2481	1	530.889	1.000
inovação tecnológica	152	2475	1	529.605	1.000
inovação de	155	2358	1	504.569	1.000
no mercado	156	2337	1	500.075	1.000
