Type	Rank	Freq	Range	NormFreq	NormRange
revista brasileira de gestão	3	1755	1	6136.449	1.000
cadernos de prospecção salvador	27	739	1	2583.952	1.000
setembro dezembro issn doi	31	728	1	2545.490	1.000
fonte elaborado pelos autores	34	721	1	2521.014	1.000
universidade federal do rio	51	585	1	2045.483	1.000
fonte dados da pesquisa	67	502	1	1755.269	1.000
universidade federal de santa	70	482	1	1685.338	1.000
maio agosto issn doi	81	427	1	1493.028	1.000
ciências inovação no ensino	98	370	1	1293.724	1.000
inovação no setor público	111	354	1	1237.780	1.000
fonte elaborada pelos autores	115	345	1	1206.311	1.000
instituições de ensino superior	121	323	1	1129.386	1.000
desenvolvimento de novos produtos	123	316	1	1104.911	1.000
direito inovação propriedade intelectual	140	285	1	996.517	1.000
rio grande do norte	173	261	1	912.600	1.000
inovação rio de janeiro	181	256	1	895.117	1.000
objetos de conhecimento habilidades	183	255	1	891.621	1.000
instituto brasileiro de geografia	192	249	1	870.642	1.000
direitos de propriedade intelectual	220	234	1	818.193	1.000
janeiro abril issn doi	234	228	1	797.214	1.000
sistema nacional de inovação	238	225	1	786.724	1.000
revista brasileira de biblioteconomia	246	220	1	769.242	1.000
revista de direito inovação	251	217	1	758.752	1.000
instituto nacional da propriedade	260	211	1	737.773	1.000
ministério da ciência tecnologia	261	210	1	734.276	1.000
universidade estadual de campinas	275	200	1	699.310	1.000
gestão da produção operações	280	197	1	688.821	1.000
nacional da propriedade industrial	300	194	1	678.331	1.000
núcleos de inovação tecnológica	320	188	1	657.352	1.000
rasi volta redonda rj	320	188	1	657.352	1.000
gepros gestão da produção	331	186	1	650.359	1.000
temáticas objetos de conhecimento	331	186	1	650.359	1.000
revista de administração pública	346	180	1	629.379	1.000
diário oficial da união	361	176	1	615.393	1.000
pública rio de janeiro	361	176	1	615.393	1.000
análise de redes sociais	372	175	1	611.897	1.000
escola superior de educação	388	172	1	601.407	1.000
nav rio de janeiro	393	170	1	594.414	1.000
base nacional comum curricular	410	165	1	576.931	1.000
direito da cidade vol	414	164	1	573.435	1.000
agentes locais de inovação	433	159	1	555.952	1.000
universidade federal de minas	442	157	1	548.959	1.000
estado do rio grande	460	154	1	538.469	1.000
rio de janeiro rj	473	152	1	531.476	1.000
classificação internacional de patentes	479	151	1	527.979	1.000
fatores críticos de sucesso	491	149	1	520.986	1.000
nacional de desenvolvimento científico	499	147	1	513.993	1.000
saúde rio de janeiro	502	146	1	510.497	1.000
eletrônica de comunicação informação	507	145	1	507.000	1.000
informação inovação em saúde	507	145	1	507.000	1.000
instituto nacional de propriedade	507	145	1	507.000	1.000
revista eletrônica de comunicação	507	145	1	507.000	1.000
universidade católica de brasília	524	143	1	500.007	1.000
orbit com visão geral	538	140	1	489.517	1.000
conselho nacional de desenvolvimento	549	139	1	486.021	1.000
teoria do desenvolvimento econômico	549	139	1	486.021	1.000
universidade federal do paraná	563	137	1	479.028	1.000
inovação em saúde rio	566	136	1	475.531	1.000
universidade federal da bahia	577	135	1	472.035	1.000
universidade federal do pará	577	135	1	472.035	1.000
nacional de propriedade industrial	596	132	1	461.545	1.000
revisão sistemática da literatura	596	132	1	461.545	1.000
diário docongresso nacional seçãoi	610	130	1	454.552	1.000
oficial da união brasília	617	129	1	451.055	1.000
nacional de ciência tecnologia	624	128	1	447.559	1.000
