Type	Rank	Freq	Range	NormFreq	NormRange
universidade federal	98	3235	1	692.231	1.000
revista brasileira	124	2776	1	594.013	1.000
inovação social	150	2515	1	538.164	1.000
inovação tecnológica	152	2475	1	529.605	1.000
propriedade intelectual	163	2275	1	486.809	1.000
ciência tecnologia	306	1574	1	336.807	1.000
palavras chave	352	1460	1	312.413	1.000
desenvolvimento econômico	370	1423	1	304.496	1.000
novos produtos	385	1363	1	291.657	1.000
belo horizonte	414	1312	1	280.744	1.000
meio ambiente	420	1303	1	278.818	1.000
desenvolvimento sustentável	491	1176	1	251.643	1.000
redes sociais	505	1154	1	246.935	1.000
setor público	511	1140	1	243.939	1.000
administração pública	527	1110	1	237.520	1.000
propriedade industrial	533	1103	1	236.022	1.000
desenvolvimento tecnológico	553	1058	1	226.393	1.000
ensino superior	555	1055	1	225.751	1.000
inovação aberta	587	1020	1	218.261	1.000
inteligência competitiva	610	995	1	212.912	1.000
setembro dezembro	764	854	1	182.740	1.000
considerações finais	778	846	1	181.029	1.000
vantagem competitiva	785	845	1	180.815	1.000
ensino fundamental	805	835	1	178.675	1.000
recursos humanos	828	817	1	174.823	1.000
prospecção salvador	956	744	1	159.202	1.000
últimos anos	1025	705	1	150.857	1.000
desenvolvimento regional	1049	696	1	148.931	1.000
maio agosto	1097	674	1	144.224	1.000
universidade estadual	1151	651	1	139.302	1.000
inovação organizacional	1198	633	1	135.450	1.000
arranjos produtivos	1212	626	1	133.953	1.000
sociedade civil	1240	615	1	131.599	1.000
inovação pedagógica	1277	601	1	128.603	1.000
prospecção tecnológica	1349	579	1	123.895	1.000
recursos naturais	1377	573	1	122.612	1.000
fonte dados	1404	564	1	120.686	1.000
edição especial	1469	544	1	116.406	1.000
tecnologias digitais	1588	514	1	109.987	1.000
cadeia produtiva	1597	513	1	109.773	1.000
janeiro abril	1604	512	1	109.559	1.000
º ano	1612	510	1	109.131	1.000
presente estudo	1622	507	1	108.489	1.000
produção científica	1640	501	1	107.205	1.000
produtivos locais	1649	500	1	106.991	1.000
educação superior	1658	499	1	106.777	1.000
artigo º	1667	496	1	106.135	1.000
conhecimento científico	1667	496	1	106.135	1.000
ciências sociais	1685	492	1	105.279	1.000
desenvolvimento científico	1707	488	1	104.423	1.000
crescimento econômico	1744	480	1	102.711	1.000
novos conhecimentos	1817	465	1	99.502	1.000
recursos financeiros	1890	451	1	96.506	1.000
saúde pública	1893	450	1	96.292	1.000
conselho nacional	1901	449	1	96.078	1.000
dissertação mestrado	1907	448	1	95.864	1.000
ensino médio	1932	443	1	94.794	1.000
setor produtivo	1963	436	1	93.296	1.000
empresas brasileiras	1970	435	1	93.082	1.000
universidade católica	1970	435	1	93.082	1.000
inovações tecnológicas	1985	433	1	92.654	1.000
anticorpos monoclonais	2097	411	1	87.947	1.000
gestão pública	2139	403	1	86.235	1.000
setores industriais	2178	397	1	84.951	1.000
serviços públicos	2187	396	1	84.737	1.000
gestão belo	2193	395	1	84.523	1.000
fonte elaboração	2211	393	1	84.095	1.000
inovação não	2219	392	1	83.881	1.000
presente trabalho	2219	392	1	83.881	1.000
novos mercados	2298	383	1	81.955	1.000
poder público	2351	376	1	80.457	1.000
tese doutorado	2389	371	1	79.387	1.000
ciências inovação	2395	370	1	79.173	1.000
pesquisa desenvolvimento	2468	361	1	77.247	1.000
elaboração própria	2526	356	1	76.178	1.000
setor privado	2543	354	1	75.750	1.000
educação básica	2557	353	1	75.536	1.000
gestão estratégica	2603	347	1	74.252	1.000
produtos serviços	2603	347	1	74.252	1.000
conhecimento tácito	2610	346	1	74.038	1.000
presente artigo	2621	345	1	73.824	1.000
incentivos fiscais	2639	344	1	73.610	1.000
relações sociais	2639	344	1	73.610	1.000
volta redonda	2660	341	1	72.968	1.000
desenvolvimento local	2698	337	1	72.112	1.000
atividades inovativas	2726	334	1	71.470	1.000
visão geral	2726	334	1	71.470	1.000
ciências humanas	2772	329	1	70.400	1.000
artigos científicos	2782	328	1	70.186	1.000
instituições públicas	2880	321	1	68.688	1.000
intensidade tecnológica	2880	321	1	68.688	1.000
diferentes tipos	2918	318	1	68.046	1.000
pesquisa qualitativa	2968	313	1	66.976	1.000
revista eletrônica	3006	310	1	66.334	1.000
constituição federal	3023	309	1	66.120	1.000
direito inovação	3041	308	1	65.906	1.000
língua portuguesa	3077	305	1	65.264	1.000
nacional comum	3091	304	1	65.050	1.000
ensino aprendizagem	3108	303	1	64.836	1.000
inovação propriedade	3167	298	1	63.767	1.000
atividade econômica	3184	297	1	63.553	1.000
países desenvolvidos	3184	297	1	63.553	1.000
revisão sistemática	3184	297	1	63.553	1.000
setor industrial	3184	297	1	63.553	1.000
inovações sociais	3208	296	1	63.339	1.000
diário oficial	3283	290	1	62.055	1.000
escola superior	3395	283	1	60.557	1.000
concorrência desleal	3515	276	1	59.059	1.000
união europeia	3515	276	1	59.059	1.000
modo geral	3535	275	1	58.845	1.000
arranjo produtivo	3572	273	1	58.417	1.000
nações unidas	3572	273	1	58.417	1.000
região sul	3633	270	1	57.775	1.000
atenção primária	3661	268	1	57.347	1.000
boas práticas	3661	268	1	57.347	1.000
conhecimento habilidades	3775	262	1	56.063	1.000
comunicação inovação	3796	261	1	55.849	1.000
segredos comerciais	3796	261	1	55.849	1.000
produtos processos	3840	258	1	55.207	1.000
abordagem qualitativa	3879	256	1	54.779	1.000
inclusão social	3921	253	1	54.137	1.000
atores sociais	3975	250	1	53.495	1.000
língua inglesa	3975	250	1	53.495	1.000
ribeirão preto	4041	247	1	52.854	1.000
divulgação científica	4067	246	1	52.640	1.000
assistência técnica	4112	244	1	52.212	1.000
metodologias ativas	4112	244	1	52.212	1.000
organização mundial	4112	244	1	52.212	1.000
público alvo	4112	244	1	52.212	1.000
energia elétrica	4176	241	1	51.570	1.000
atividades econômicas	4249	238	1	50.928	1.000
mestrado profissional	4249	238	1	50.928	1.000
direitos humanos	4266	237	1	50.714	1.000
valor agregado	4266	237	1	50.714	1.000
conhecimento tradicional	4309	235	1	50.286	1.000
inovação radical	4360	233	1	49.858	1.000
problemas sociais	4406	231	1	49.430	1.000
indústria brasileira	4475	228	1	48.788	1.000
análise econômica	4500	227	1	48.574	1.000
processo produtivo	4500	227	1	48.574	1.000
associação brasileira	4539	225	1	48.146	1.000
fatores críticos	4585	223	1	47.718	1.000
melhores práticas	4585	223	1	47.718	1.000
baixo custo	4615	222	1	47.504	1.000
nova economia	4615	222	1	47.504	1.000
variável dependente	4615	222	1	47.504	1.000
saúde coletiva	4663	220	1	47.076	1.000
curto prazo	4731	217	1	46.434	1.000
figura mostra	4731	217	1	46.434	1.000
autoria própria	4758	216	1	46.220	1.000
desempenho organizacional	4758	216	1	46.220	1.000
inovação sustentável	4758	216	1	46.220	1.000
ambiente produtivo	4835	213	1	45.578	1.000
classificação internacional	4864	212	1	45.364	1.000
mudanças climáticas	4864	212	1	45.364	1.000
novo produto	4864	212	1	45.364	1.000
organizações públicas	4864	212	1	45.364	1.000
capacidades dinâmicas	4951	209	1	44.722	1.000
produtos naturais	4974	208	1	44.508	1.000
artigos publicados	5049	205	1	43.866	1.000
diferentes formas	5049	205	1	43.866	1.000
extensão rural	5049	205	1	43.866	1.000
novos modelos	5049	205	1	43.866	1.000
figura figura	5080	204	1	43.652	1.000
diferentes áreas	5137	202	1	43.224	1.000
agentes locais	5230	199	1	42.582	1.000
comércio exterior	5295	197	1	42.154	1.000
indústria farmacêutica	5295	197	1	42.154	1.000
produção operações	5295	197	1	42.154	1.000
responsabilidade social	5295	197	1	42.154	1.000
apoio financeiro	5326	196	1	41.940	1.000
congresso brasileiro	5326	196	1	41.940	1.000
nível superior	5326	196	1	41.940	1.000
capacidade absortiva	5363	195	1	41.726	1.000
desenvolvimento novo	5363	195	1	41.726	1.000
inovação incremental	5402	194	1	41.512	1.000
transformação digital	5402	194	1	41.512	1.000
educação ciência	5473	192	1	41.085	1.000
inovação disruptiva	5473	192	1	41.085	1.000
cabo verde	5541	190	1	40.657	1.000
justiça criminal	5541	190	1	40.657	1.000
inovaç ão	5579	189	1	40.443	1.000
inovação frugal	5579	189	1	40.443	1.000
inovações incrementais	5656	187	1	40.015	1.000
papel fundamental	5656	187	1	40.015	1.000
universidades federais	5656	187	1	40.015	1.000
comunidades tradicionais	5687	186	1	39.801	1.000
desenvolvimento humano	5687	186	1	39.801	1.000
gepros gestão	5687	186	1	39.801	1.000
serviço público	5751	184	1	39.373	1.000
fi scais	5785	183	1	39.159	1.000
interação universidade	5785	183	1	39.159	1.000
desenvolvimento social	5825	182	1	38.945	1.000
educação corporativa	5825	182	1	38.945	1.000
pesquisa documental	5825	182	1	38.945	1.000
desvio padrão	5908	180	1	38.517	1.000
estudo prospectivo	5908	180	1	38.517	1.000
movimentos sociais	5908	180	1	38.517	1.000
objetivo geral	5956	179	1	38.303	1.000
criminal impunidade	5992	178	1	38.089	1.000
sistema produtivo	5992	178	1	38.089	1.000
inovação educacional	6022	177	1	37.875	1.000
inovação local	6022	177	1	37.875	1.000
novos processos	6022	177	1	37.875	1.000
nível nacional	6022	177	1	37.875	1.000
inovação revista	6155	174	1	37.233	1.000
inteligência artificial	6201	173	1	37.019	1.000
produtivo local	6201	173	1	37.019	1.000
empresa brasileira	6246	172	1	36.805	1.000
inovação fonte	6246	172	1	36.805	1.000
poder judiciário	6246	172	1	36.805	1.000
segurança pública	6246	172	1	36.805	1.000
construção civil	6288	171	1	36.591	1.000
diferentes níveis	6288	171	1	36.591	1.000
alto nível	6370	169	1	36.163	1.000
avanços tecnológicos	6370	169	1	36.163	1.000
seguinte forma	6370	169	1	36.163	1.000
educação tecnológica	6453	167	1	35.735	1.000
forma geral	6487	166	1	35.521	1.000
primeira etapa	6487	166	1	35.521	1.000
primeiro lugar	6487	166	1	35.521	1.000
revolução industrial	6487	166	1	35.521	1.000
entrevistas semiestruturadas	6534	165	1	35.307	1.000
revisão bibliográfica	6534	165	1	35.307	1.000
cidade vol	6587	164	1	35.093	1.000
desenvolvimento rural	6587	164	1	35.093	1.000
grupos sociais	6587	164	1	35.093	1.000
indústria nacional	6686	162	1	34.665	1.000
informação inovação	6686	162	1	34.665	1.000
interesse público	6686	162	1	34.665	1.000
novo modelo	6686	162	1	34.665	1.000
primeiro momento	6686	162	1	34.665	1.000
chave inovação	6731	161	1	34.451	1.000
educação física	6731	161	1	34.451	1.000
ensino pesquisa	6731	161	1	34.451	1.000
inovação inovação	6731	161	1	34.451	1.000
processos produtivos	6789	160	1	34.237	1.000
educação profissional	6843	159	1	34.023	1.000
grande importância	6843	159	1	34.023	1.000
sociedade brasileira	6843	159	1	34.023	1.000
empresas industriais	6895	158	1	33.809	1.000
ministério público	6895	158	1	33.809	1.000
rede social	6895	158	1	33.809	1.000
região norte	6895	158	1	33.809	1.000
diretor presidente	6959	157	1	33.595	1.000
maneira mais	7007	156	1	33.381	1.000
produtores rurais	7007	156	1	33.381	1.000
palavras chaves	7058	155	1	33.167	1.000
pesquisas futuras	7058	155	1	33.167	1.000
ciências contábeis	7112	154	1	32.953	1.000
desenvolvimento industrial	7112	154	1	32.953	1.000
diferentes contextos	7112	154	1	32.953	1.000
gestão organizacional	7112	154	1	32.953	1.000
inovação também	7112	154	1	32.953	1.000
valor econômico	7112	154	1	32.953	1.000
estudo exploratório	7171	153	1	32.739	1.000
pesquisa agropecuária	7171	153	1	32.739	1.000
economia criativa	7231	152	1	32.525	1.000
folga orçamentária	7231	152	1	32.525	1.000
necessidades humanas	7231	152	1	32.525	1.000
papel importante	7231	152	1	32.525	1.000
contexto brasileiro	7297	151	1	32.311	1.000
estudos avançados	7297	151	1	32.311	1.000
produção agrícola	7297	151	1	32.311	1.000
baixa intensidade	7334	150	1	32.097	1.000
desenvolvimento nacional	7334	150	1	32.097	1.000
fi toterápicos	7334	150	1	32.097	1.000
fundação oswaldo	7334	150	1	32.097	1.000
inovação global	7334	150	1	32.097	1.000
janeiro vol	7334	150	1	32.097	1.000
terceiro setor	7334	150	1	32.097	1.000
aprendizagem organizacional	7399	149	1	31.883	1.000
países emergentes	7399	149	1	31.883	1.000
comunicação informação	7505	147	1	31.455	1.000
economia brasileira	7505	147	1	31.455	1.000
estudos futuros	7505	147	1	31.455	1.000
produto final	7505	147	1	31.455	1.000
educação infantil	7559	146	1	31.241	1.000
fundamentação teórica	7559	146	1	31.241	1.000
inovações radicais	7559	146	1	31.241	1.000
