Type	Rank	Freq	Range	NormFreq	NormRange
rio de janeiro	3	3972	1	3578.253	1.000
processo de inovação	15	1879	1	1692.733	1.000
brasileira de gestão	19	1788	1	1610.754	1.000
disponível em acesso	38	1390	1	1252.208	1.000
gestão da inovação	40	1347	1	1213.471	1.000
transferência de tecnologia	64	1061	1	955.822	1.000
base de dados	65	1028	1	926.094	1.000
gestão do conhecimento	71	975	1	878.348	1.000
ciência da informação	75	941	1	847.718	1.000
coleta de dados	85	847	1	763.036	1.000
revista de administração	86	845	1	761.235	1.000
capacidade de inovação	92	825	1	743.217	1.000
dados da pesquisa	96	801	1	721.596	1.000
instituições de ensino	108	779	1	701.777	1.000
ecossistema de inovação	114	767	1	690.967	1.000
cadernos de prospecção	119	763	1	687.363	1.000
setembro dezembro issn	132	736	1	663.040	1.000
biodiversidade no brasilseção	156	676	1	608.988	1.000
bases de dados	180	621	1	559.440	1.000
conselho de administração	187	614	1	553.134	1.000
revista de direito	205	589	1	530.612	1.000
tecnologia da informação	207	588	1	529.711	1.000
inovação no ensino	225	570	1	513.495	1.000
tomada de decisão	236	563	1	507.189	1.000
mão de obra	239	561	1	505.388	1.000
sistema de inovação	256	526	1	473.857	1.000
desenvolvimento de novos	266	514	1	463.047	1.000
processos de inovação	280	497	1	447.732	1.000
longo do tempo	285	492	1	443.228	1.000
inovação no setor	294	484	1	436.021	1.000
arranjos produtivos locais	299	477	1	429.715	1.000
sistemas de inovação	312	460	1	414.400	1.000
desenvolvimento de produtos	313	459	1	413.499	1.000
fontes de informação	338	437	1	393.680	1.000
qualidade de vida	346	429	1	386.473	1.000
lei de inovação	348	428	1	385.572	1.000
análise dos dados	372	412	1	371.158	1.000
conceito de inovação	376	408	1	367.555	1.000
direitos de propriedade	380	399	1	359.447	1.000
países em desenvolvimento	387	396	1	356.744	1.000
gestão belo horizonte	389	395	1	355.843	1.000
inovação em saúde	392	394	1	354.942	1.000
processo de desenvolvimento	405	390	1	351.339	1.000
rede de inovação	407	388	1	349.537	1.000
famílias de patentes	435	373	1	336.024	1.000
cultura de inovação	442	370	1	333.322	1.000
inovação de produto	445	368	1	331.520	1.000
atividades de inovação	457	365	1	328.817	1.000
prestação de serviços	492	352	1	317.106	1.000
inovação de produtos	501	346	1	311.701	1.000
banco de dados	505	344	1	309.899	1.000
instituições de pesquisa	525	336	1	302.692	1.000
investimentos em inovação	525	336	1	302.692	1.000
criação de valor	528	335	1	301.791	1.000
resolução de problemas	529	334	1	300.890	1.000
objetos de conhecimento	532	331	1	298.188	1.000
inovação em serviços	544	326	1	293.683	1.000
projetos de inovação	571	318	1	286.476	1.000
redução de custos	571	318	1	286.476	1.000
empresas do setor	589	311	1	280.170	1.000
inovação no brasil	589	311	1	280.170	1.000
política de inovação	595	309	1	278.369	1.000
base nacional comum	616	302	1	272.063	1.000
projetos de pesquisa	634	297	1	267.558	1.000
inovação propriedade intelectual	639	296	1	266.657	1.000
fabricação de produtos	646	295	1	265.756	1.000
políticas de inovação	646	295	1	265.756	1.000
revista de gestão	677	288	1	259.450	1.000
áreas do conhecimento	681	287	1	258.549	1.000
direito inovação propriedade	688	285	1	256.748	1.000
longo dos anos	694	284	1	255.847	1.000
serviços de saúde	694	284	1	255.847	1.000
biodiversidade da amazônia	699	282	1	254.045	1.000
presidente do conselho	715	277	1	249.541	1.000
práticas de inovação	721	276	1	248.640	1.000
nacional de inovação	731	274	1	246.838	1.000
atividades de pesquisa	735	273	1	245.937	1.000
fonte elaboração própria	735	273	1	245.937	1.000
ministério da ciência	748	271	1	244.136	1.000
grande do norte	752	269	1	242.334	1.000
organização do trabalho	772	265	1	238.730	1.000
autores deste artigo	783	263	1	236.929	1.000
brasileiro de geografia	793	261	1	235.127	1.000
análise de dados	798	260	1	234.226	1.000
incentivo à inovação	828	256	1	230.623	1.000
inovação das empresas	833	255	1	229.722	1.000
processo de aprendizagem	847	252	1	227.019	1.000
setor de serviços	855	251	1	226.118	1.000
federal de educação	863	250	1	225.217	1.000
nacional de desenvolvimento	868	249	1	224.316	1.000
tecnologias de informação	876	248	1	223.416	1.000
objeto de estudo	881	247	1	222.515	1.000
ecossistemas de inovação	922	242	1	218.010	1.000
estado da arte	938	239	1	215.308	1.000
tecnologias da informação	945	238	1	214.407	1.000
competência em informação	976	234	1	210.803	1.000
criação de novos	976	234	1	210.803	1.000
mercado de trabalho	976	234	1	210.803	1.000
revisão de literatura	987	233	1	209.903	1.000
tipos de inovação	987	233	1	209.903	1.000
fonte de informação	1006	229	1	206.299	1.000
inovação da biodiversidade	1012	228	1	205.398	1.000
inovação por meio	1012	228	1	205.398	1.000
desenvolvimento de inovações	1028	225	1	202.696	1.000
produtos ou serviços	1028	225	1	202.696	1.000
modelo de gestão	1039	224	1	201.795	1.000
gestão de projetos	1057	221	1	199.092	1.000
inovação de processo	1057	221	1	199.092	1.000
brasileira de biblioteconomia	1064	220	1	198.191	1.000
tomada de decisões	1064	220	1	198.191	1.000
indicadores de inovação	1076	218	1	196.389	1.000
produção de conhecimento	1076	218	1	196.389	1.000
resultados da pesquisa	1076	218	1	196.389	1.000
grau de inovação	1081	217	1	195.489	1.000
núcleos de inovação	1081	217	1	195.489	1.000
gestão da produção	1091	215	1	193.687	1.000
revisão da literatura	1091	215	1	193.687	1.000
